servico,natureza
ACRILICO,EVENTO
AJUDA DE CUSTO,CASA
AJUSTA DE CUSTO,CASA
ALIMENTAÇÃO STAFF,EVENTO
ALIMENTOS,EVENTO
APARELHO/CELULAR,CASA
ASSESSORIA CONTÁBIL,CASA
ASSESSORIA DE RH,CASA
ASSESSORIA FINANCEIRA,CASA
ASSESSORIA JURÍDICA,CASA
ASSINATURA ANUAL,CASA
BANNER,CASA
BARMAN,EVENTO
BEBIDAS,EVENTO
BOLO ANIVERSARIANTE,EVENTO
BOLO FAKE,EVENTO
BOLOS E DOCES,EVENTO
BOLOS E DOCES VEGANOS,EVENTO
BOMBEIRO,CASA
BOTTONS SOUL,CASA
Buffet Ouro,EVENTO
CABINE DE FOTOS,EVENTO
CARREGADOR CEASA,CASA
CARTÃO DE CRÉDITO,CASA
CAÇAMBA DE ENTULHOS,CASA
CERIMONIAL,EVENTO
CHAVEIRO,CASA
CHIP/INTERNET,CASA
CHOCOLATES FINOS,EVENTO
CHOPP,EVENTO
COMBUSTÍVEL,CASA
COMISSÃO,CASA
CONSÓRCIO,CASA
COPO ECO 450ML,EVENTO
CURSO DE JAPONÊS,CASA
Canudo,EVENTO
Convite para Convidados,EVENTO
Convites para Eventos,EVENTO
CÂMERAS DE VIGILÂNCIA,CASA
DAEM,CASA
DECORAÇÃO,EVENTO
DESCARTÁVEIS,EVENTO
DESRATIZAÇÃO,CASA
DEVOLUÇÕES,CASA
DIESEL,EVENTO
DIÁRIA,EVENTO
DIÁRIA DE EVENTO,EVENTO
DJ,EVENTO
DOCES FINOS,EVENTO
DVD com Fotos,EVENTO
ECAD,CASA
ELETRICISTA,CASA
ELETRÔNICOS,CASA
EMPRÉSTIMO,CASA
ENERGIA,CASA
ESCALA,EVENTO
ESPAÇO KIDS,EVENTO
ESTACIONAMENTO,CASA
ESTORNO,CASA
ESTORNO RESCISÃO,EVENTO
EXAME ADMISSIONAL,CASA
EXAME DEMISSIONAL,CASA
EXTORNO DE SINAL,CASA
EXTRAS DE DECORAÇÃO,EVENTO
FILMAKER,EVENTO
FITA ADESIVA,CASA
FLORES E ARRANJOS,EVENTO
FOGOS INDOOR,EVENTO
FONTE ELETRONICA,CASA
FORMINHAS,EVENTO
FRETE,CASA
GAS DE COZINHA,CASA
GELO,EVENTO
GELO E ÁGUA,EVENTO
GERADOR,EVENTO
GERENTE DE EVENTO,EVENTO
GRÁFICA E PAPELARIA,CASA
GUIA DO FGTS,CASA
GÁS,CASA
HORAS EXTRAS,CASA
HOSPEDAGEM,CASA
ILUMINAÇÃO,EVENTO
IMPOSTO DE RENDA,CASA
IMPULSIONAMENTO,CASA
INTELIGÊNCIA ARTIFICIAL,CASA
INTERNET,CASA
IPTU,CASA
IPVA,CASA
JARDINAGEM,CASA
LAVANDERIA,CASA
LEDS,EVENTO
LETICIA BALÕES,EVENTO
LETREIRO,CASA
LIMPEZA,CASA
LINK DE FOTOS TRATADO,EVENTO
LOCAÇÃO DE IMÓVEIS,CASA
LONA PARA PLOTAGEM,CASA
Lalamove,CASA
MANUTENÇÃO AR CONDICIONADO,CASA
MANUTENÇÃO DA CASA,CASA
MANUTENÇÃO DO SOM,EVENTO
MANUTENÇÃO ELEVADOR,CASA
MANUTENÇÃO/CONSERTO DO GERADOR,CASA
MATERIAL DE CONSTRUÇÃO,CASA
MATERIAL DE ESCRITÓRIO,CASA
MATERIAL DE LIMPEZA,CASA
MATERIAL HOSPITALAR,CASA
MATERIAL PARA OBRA,CASA
MICROFONE DE LAPELA,EVENTO
MOBILIÁRIO,EVENTO
MULTAS,CASA
MÃO DE OBRA,CASA
MÍDIA E MARKETING,CASA
NOTEBOOK,CASA
OBRA,CASA
OPEN BAR,EVENTO
OUTROS,CASA
PACOTE DE MENSAGENS,CASA
PANFLETOS FORMATURA,CASA
PAPEL CHAMEX,CASA
PIPA D'ÁGUA,CASA
PISTA DE DANÇA,EVENTO
PLACA GOOGLE,CASA
PLACA SOLAR,CASA
PREMIAÇÃO,CASA
PREVIDÊNCIA SOCIAL,CASA
PÓS DE EVENTO,EVENTO
RECARGA EXTINTORES,CASA
REEMBOLSO,CASA
RESCISÃO,CASA
RIDER BANDA,EVENTO
RING LIGHT,EVENTO
SALÁRIOS,CASA
SEGURANÇA,EVENTO
SEGURO SOUL,CASA
SIMPLES NACIONAL,CASA
SISTEMA,CASA
STAFF DE EVENTOS,EVENTO
SUPORTE DECORACAO,EVENTO
SUSHIMAN,EVENTO
Salgados,EVENTO
TAXA VIGILÂNCIA SANITÁRIA,CASA
TAXAS,CASA
TELA PROTETORA,CASA
TELEVISÃO,CASA
TINTAS,CASA
TOALHAS E GUARDANAPOS,EVENTO
TRANSFERÊNCIA,CASA
UBER,CASA
VALE SALÁRIO,CASA
VALE TRANSPORTE,CASA
VALET,EVENTO
VALET E SEGURANÇA,EVENTO
VELAS,EVENTO
VIDRACEIRO,CASA
VJ,EVENTO
ÁGUA,CASA
